disease_wiki_id,disease_name,description,drugs,symptoms,risk_factors
Q55787200,11p15.4 microduplication syndrome,human disease,,,
Q55788229,11q22.2q22.3 microdeletion syndrome,human disease,,,
Q55788876,12q14 microdeletion syndrome,gene: mutations in this gene have already been implicated in osteopoikilosis,,,
Q55788106,13q12.3 microdeletion syndrome,human disease,,,
Q55788076,14q24.1q24.3 microdeletion syndrome,human disease,,,
Q55787032,1p21.3 microdeletion syndrome,"1p21.3 microdeletion syndrome is an extremely rare chromosomal anomaly characterized by severe speech and language delay, intellectual deficiency, autism spectrum disorder(see this term).",,,
Q55788261,1p35.2 microdeletion syndrome,human disease,,,
Q55787346,20p13 microdeletion syndrome,human disease,,,
Q55788230,20q11.2 microdeletion syndrome,human disease,,,
Q55787794,20q11.2 microduplication syndrome,,,,
Q1926345,22q13 deletion syndrome,human disease,,,
Q55787795,2p13.2 microdeletion syndrome,human disease,,,
Q55787355,2q23.1 microduplication syndrome,,,,
Q15428809,2q37 deletion syndrome,human disease,,,
Q574227,2q37 monosomy,"Deletion 2q37 or monosomy 2q37 is a chromosomal anomaly involving deletion of chromosome band 2q37 and manifests as three major clinical findings: developmental delay, skeletal malformations and facial dysmorphism",,,
Q27677579,"3-methylglutaconic aciduria with cataracts, neurologic involvement and neutropenia",3-methylglutaconic aciduria that has material basis in homozygous or compound heterozygous mutation in the CLPB gene on chromosome 11q13,,,
Q21154070,3p- syndrome,Human disease,,['petoze'],
Q55788181,3p25.3 microdeletion syndrome,human disease,,,
Q55787977,3q27.3 microdeletion syndrome,human disease,,,
Q55785688,6q16 deletion syndrome,"Deletion 6q16 syndrome is a Prader-Willi like syndrome characterized by obesity, hyperphagia, hypotonia, small hands and feet, eye/vision anomalies, and global developmental delay",,,
Q55787375,7p22.1 microduplication syndrome,,,,
Q55787558,9p13 microdeletion syndrome,,,,
Q55788075,9q31.1q31.3 microdeletion syndrome,human disease,,,
Q50349602,ABri amyloidosis,human disease,,,
Q50349603,ADan amyloidosis,"A cerebral amyloid angiopathy characterized by ataxia, intention tremor, psychosis and dementia that has material basis in an autosomal dominant mutation of ITM2B on chromosome 13q14.2.",,,
Q55783600,AICA-ribosiduria,,,,
Q3435504,AIDS dementia complex,Human disease,,,
Q293533,AIDS phobia,specific anxiety disorder: excessively strong fear of being infected with HIV or AIDS to be sick,,,
Q55783858,ANE syndrome,human disease,,,
Q55788125,ARX-related encephalopathy-brain malformation spectrum,human disease,,,
Q3508561,ATR-16 syndrome,"alpha thalassemia that has material basis in a deletion in chromosome 16p that involves the alpha-1 (HBA1) and alpha-2 (HBA2) genes, among others",,,
Q55786703,ATR-X-related syndrome,human disease,,,
Q303123,Aarskog syndrome,"monogenic disease affects a person's height, muscles, skeleton, genitals, and appearance of the face",,,
Q4665116,Abdominal aura,,,,
Q4060284,Accentuation of personality traits,,,,
Q104844018,Achiria,,,,
Q10355293,Acute toxic psychosis,,,,
Q90249065,Adele syndrome,,,,
Q357522,Adipsia,Clinically significant lack of expression of thirst,,,
Q17992586,Adolescent paranoia,,,,
Q1812920,Adult attention deficit hyperactivity disorder,the neurobiological condition of attention deficit hyperactivity disorder (ADHD) in adults,,,
Q4693581,Agoraphobia Without History of Panic Disorder,,,,
Q403463,Aicardi syndrome,"syndrome that is characterized by absence or underdeveloped tissue connecting the left and right halves of the brain, infantile spasms and chorioretinal lacunae, which are defects in the light-sensitive tissue at the back of the eye",,,
Q4713249,Alcohol and breast cancer,,,,
Q4713250,Alcohol and cardiovascular disease,Effects of alcohol consumption on cardiovascular health,,,
Q4713257,Alcohol and weight,,,,
Q4713264,Alcohol dementia,medical condition,,,
Q28135156,Alcohol intolerance,medical condition,,,
Q16002418,Alcohol myopia,theory about alcohol's effect on behavior,,,
Q4713313,Alcohol use and sleep,Human disease,,,
Q22236199,Alcohol-induced respiratory reactions,response to the consumption of alcohol,,,
Q9186667,Alcoholic cerebral degeneration,,,,
Q47535995,Alcoholic ketoacidosis,"acute metabolic acidosis that typically occurs in people who chronically abuse alcohol and have a recent history of binge drinking, little or no food intake and persistent vomiting",,,
Q42593774,Aldred syndrome,medical condition,,,
Q16002436,Alektorophobia,,,,
Q4731121,Allan-Herndon-Dudley syndrome,congenital disorder of nervous system,,,
Q4734606,Alopecia contractures dwarfism mental retardation,medical condition,,,
Q2613277,Alpha-thalassemia mental retardation syndrome,alpha thalassemia that has material basis in mutation in the ATRX gene on Xq21,,,
Q55782425,Alport syndrome-intellectual disability-midface hypoplasia-elliptocytosis syndrome,human disease,,,
Q64425127,Alveolar hypoventilation syndrome,,,,
Q53660493,Alwadei syndrome,autosomal recessive non-syndromic intellectual disability that has material basis in an autosomal recessive mutation of the RUSC2 gene on chromosome 9p13,,,
Q11081,Alzheimer's disease,"progressive, neurodegenerative disease characterized by memory loss",,,
Q27997150,Amafufunyana,culture-bound syndrome,,,
Q55783637,Amish infantile epilepsy syndrome,human disease,,,
Q4749552,Amylophagia,compulsion to consume purified starch (such as cornstarch) in excess,,,
Q535364,Angelman syndrome,Genetic condition in humans,,,
Q4763844,Angor animi,symptom defined as a patient's perception that they are dying,,,
Q489499,Animal hoarding,keeping more domestic pets than can be cared for,,,
Q2852337,Anosodiaphoria,medical condition,,,
Q15520396,Antenatal depression,medical condition,,,
Q19903316,Antidepressant treatment tachyphylaxis,when antidepressants become ineffective,,,
Q587795,Anton syndrome,,,,
Q15783653,Anton–Babinski syndrome,Rare symptom of brain damage where sufferers deny being blind,,,
Q104870117,Apeirophobia,fear of infinity,,,
Q2291948,Apotemnophilia,,,,
Q1428145,Apraxia of speech,speech sound disorder,,,
Q622138,Aprosodia,,,,
Q18553460,Armfield syndrome,Human disease,,,
Q11852863,Arts syndrome,"Lethal ataxia with deafness and optic atrophy (also known as Arts syndrome) is characterized by intellectual deficit, early-onset hypotonia, ataxia, delayed motor development, hearing impairment and loss of vision due to optic atrophy",,,
Q734123,Asomatognosia,medical condition,,,
Q161790,Asperger syndrome,neurodevelopmental disorder affecting social interaction,"['fluvoxamine', 'fluoxetine', 'olanzapine', 'risperidone', 'sertraline', 'methylphenidate', 'aripiprazole']",,
Q4812457,At risk mental state,,,,
Q4812800,Ataque de nervios,psychological syndrome,,,
Q50364510,Ataxia-oculomotor apraxia type 4,AOA4,,,
Q55332137,Ataxia-telangiectasia-like disorder 1,human disease,,,
Q2869281,Athymhormia,"Disorder of motivation, curiosity and affect",,,
Q49988980,Atkin-Flaitz syndrome,"X-linked intellectual disability, Atkin type",,,
Q1993146,Attention deficit hyperactivity disorder predominantly inattentive,neurodevelopmental condition,,"['hyperfocus', 'emotional dysregulation', 'rejection sensitive dysphoria', 'executive dysfunction', 'daydream']",
Q4818692,Attraction to disability,,,,
Q3961667,Austrian syndrome,medical condition,,,
Q105925693,Autosomal recessive mental retardation-42,,,,
Q55782923,Ayme-Gripp syndrome,human disease,,,
Q190845,BDSM,erotic practices involving domination and sadomasochism,,,
Q48990236,Bainbridge Ropers Syndrome,Human genetic disorder,,,
Q12384040,Ballstretching,practice of achieving scrotal dilation to achieve elongation,,,
