spec_id,disease_wiki_id
13,Q696490
31,Q183560
31,Q55782401
44,Q844590
45,Q67135693
59,Q10638540
59,Q170082
69,Q1137463
72,Q3540868
76,Q55621848
104,Q1201835
105,Q935129
109,Q774045
119,Q21109
174,Q19269381
197,Q2849709
203,Q18657
239,Q4936774
252,Q493965
265,Q2728811
266,Q1815366
293,Q1869874
296,Q192077
296,Q13512178
351,Q195941
374,Q420339
391,Q372236
479,Q192579
509,Q1316515
511,Q317158
534,Q3450985
544,Q493965
544,Q3377828
548,Q860740
577,Q2339132
581,Q3297888
581,Q741713
618,Q31883801
644,Q10276697
644,Q2627467
650,Q178190
678,Q7632070
685,Q3316140
733,Q3316140
752,Q281928
755,Q653027
760,Q6043263
793,Q1328833
795,Q860740
813,Q3316140
836,Q3347244
838,Q18348488
838,Q1058691
846,Q11081
901,Q31883801
935,Q154430
935,Q16054607
960,Q935129
986,Q184674
992,Q923164
1004,Q1328833
1007,Q935129
1044,Q21109
1194,Q175854
1204,Q1436063
1234,Q270673
1253,Q3540868
1277,Q208166
1296,Q2735540
1315,Q41112
1315,Q26721384
1329,Q3316140
1340,Q191779
1397,Q1058691
1419,Q11491595
1447,Q190845
1465,Q1058691
1470,Q2627467
1470,Q18657
1490,Q1436063
1498,Q4936774
1513,Q3540868
1538,Q1049021
1538,Q3704805
1560,Q1188698
1575,Q83030
1606,Q18348488
1623,Q1137463
1691,Q152100
1692,Q207791
1748,Q3087172
1748,Q17009018
1748,Q9385421
1749,Q202387
1759,Q16068890
1775,Q2712607
1805,Q6048309
1833,Q268586
1846,Q772440
1869,Q114714864
1885,Q3087172
1906,Q845224
1915,Q844590
1950,Q20494879
1971,Q815296
1983,Q21109
2000,Q2735540
2008,Q5419936
2057,Q845224
2071,Q20494879
2088,Q438896
2103,Q11491595
2111,Q209522
2134,Q608259
2159,Q935129
2172,Q4419854
2210,Q935129
2248,Q2627467
2248,Q18657
2257,Q161790
2261,Q477502
2278,Q1426787
2287,Q3316140
2297,Q20494879
2313,Q1513352
2314,Q7331102
2316,Q388626
2332,Q118418
2368,Q38404
2404,Q1319971
2412,Q175854
2425,Q3065932
2434,Q44619
2459,Q317158
2464,Q12859193
2467,Q438896
2485,Q44619
2492,Q2914812
2592,Q25389052
2602,Q2728811
2608,Q4915474
2608,Q131755
2608,Q4086956
2612,Q2822642
2612,Q3328200
2612,Q174589
2612,Q395931
2641,Q188638
2695,Q2295338
2713,Q97674167
2719,Q2914583
2758,Q1077139
2770,Q5441238
2782,Q373822
2828,Q2728811
2846,Q1319971
2857,Q31883801
2971,Q231624
2971,Q195941
2971,Q5157235
2979,Q317158
2991,Q860740
2993,Q175854
3015,Q608259
3021,Q5419936
3024,Q12046440
3031,Q584560
3055,Q1319971
3077,Q1060310
3108,Q207791
3138,Q195941
3138,Q5157235
3208,Q2338307
3240,Q2627467
3302,Q132971
3346,Q1137463
3367,Q15326
3386,Q11491595
3391,Q56063104
3394,Q1137463
3397,Q7451812
3397,Q2300749
3398,Q65065956
3398,Q25531259
3465,Q191779
3497,Q1436063
3513,Q4915490
3535,Q3316140
3538,Q3316140
3591,Q317158
3676,Q3519556
3680,Q608259
3692,Q8354911
3693,Q16068890
3740,Q1058691
3783,Q695954
3785,Q281928
3793,Q997841
3806,Q831735
3806,Q1514248
3871,Q373822
3887,Q3072083
3959,Q5354941
3959,Q377493
