disease_wiki_id,symp_id
Q21154070,0
Q1993146,1
Q1993146,2
Q1993146,3
Q1993146,4
Q1993146,5
Q174651,6
Q174651,7
Q174651,8
Q5032577,9
Q55346059,10
Q55346059,11
Q55346059,12
Q55346059,13
Q55346059,14
Q55346059,15
Q55346059,16
Q55346059,17
Q55346059,18
Q49989,19
Q49989,13
Q574741,0
Q3144201,22
Q911160,23
Q383228,24
Q383228,19
Q190564,26
Q190564,27
Q190564,28
Q190564,19
Q622901,30
Q622901,31
Q622901,32
Q622901,33
Q3508664,34
Q1331905,19
Q1331905,36
Q1331905,37
Q28024539,38
Q28024539,39
Q28024539,40
Q28024539,41
Q28024539,42
Q28024539,43
Q28024539,44
Q28024539,45
Q28024539,46
Q28024539,47
Q28024539,48
Q28024539,49
Q28024539,50
Q28024539,51
Q28024539,52
Q28024539,53
Q28024539,54
Q28024539,55
Q28024539,56
Q28024539,57
Q28024539,58
Q28024539,59
Q28024539,60
Q28024539,61
Q28024539,62
Q28024539,63
Q28024539,16
Q28024539,65
Q28024539,66
Q28024539,67
Q28024539,68
Q28024539,69
Q28024539,70
Q28024539,71
Q28024539,72
Q28024539,73
Q28024539,74
Q28024539,75
Q28024539,76
Q28024539,77
Q28024539,78
Q28024539,79
Q28024539,80
Q28024539,81
Q28024539,6
Q28024539,83
Q28024539,84
Q28024539,85
Q28024539,86
Q28024539,87
Q28024539,88
Q28024539,89
Q28024539,90
Q28024539,91
Q28024539,92
Q28024539,93
Q28024539,94
Q28024539,95
Q28024539,96
Q28024539,0
Q28024539,98
Q28024539,99
Q28024539,100
Q28024539,101
Q28024539,102
Q28024539,103
Q28024539,104
Q28024539,105
Q28024539,106
Q28024539,107
Q28024539,108
Q28024539,109
Q28024539,110
Q12859193,111
Q1462780,112
Q176671,113
Q1559250,114
Q875992,115
Q7313459,116
Q917357,117
Q7389072,118
Q19703046,99
Q19703046,120
Q19703046,74
Q19703046,122
Q19703046,123
Q7545701,86
Q522163,26
Q9390463,126
Q191779,127
Q24975353,128
Q24975353,129
Q558077,130
Q117121,27
Q117121,132
Q117121,133
Q117121,134
Q117121,135
Q25381003,118
Q25381003,138
