spec_id,symp_id
13,263
31,122
45,3
59,244
109,123
194,245
266,288
271,61
293,197
351,350
380,113
402,316
685,2
733,2
751,162
752,374
813,2
854,361
935,227
986,389
1194,264
1251,195
1329,2
1450,43
1560,241
1575,19
1805,349
1872,191
1906,265
2008,4
2045,169
2057,265
2065,144
2069,245
2094,266
2111,195
2158,28
2172,221
2287,2
2311,213
2334,305
2409,350
2412,264
2458,287
2464,111
2524,193
2628,347
2839,127
2971,350
2993,264
3021,4
3031,61
3100,46
3208,167
3260,199
3535,2
3538,2
3561,287
3785,374
3817,319
3887,239
