age_id,age_bracket,person_id
1,Preteen,0
2,Adults,0
3,Teen,0
2,Adults,1
3,Teen,1
2,Adults,2
0,Toddler,3
1,Preteen,3
2,Adults,3
3,Teen,3
4,Children (6 to 10),3
2,Adults,4
2,Adults,5
2,Adults,8
5,Elders (65+),8
1,Preteen,9
2,Adults,9
3,Teen,9
4,Children (6 to 10),9
1,Preteen,10
2,Adults,10
3,Teen,10
4,Children (6 to 10),10
5,Elders (65+),10
1,Preteen,11
2,Adults,11
3,Teen,11
1,Preteen,12
2,Adults,12
3,Teen,12
4,Children (6 to 10),12
5,Elders (65+),12
2,Adults,13
3,Teen,13
1,Preteen,14
2,Adults,14
3,Teen,14
4,Children (6 to 10),14
5,Elders (65+),14
1,Preteen,15
2,Adults,15
3,Teen,15
4,Children (6 to 10),15
2,Adults,16
3,Teen,16
5,Elders (65+),16
2,Adults,17
5,Elders (65+),17
1,Preteen,18
2,Adults,18
3,Teen,18
2,Adults,19
3,Teen,19
2,Adults,20
5,Elders (65+),20
2,Adults,22
3,Teen,22
0,Toddler,23
1,Preteen,23
2,Adults,23
3,Teen,23
4,Children (6 to 10),23
1,Preteen,24
2,Adults,24
3,Teen,24
1,Preteen,25
2,Adults,25
3,Teen,25
4,Children (6 to 10),25
1,Preteen,26
2,Adults,26
3,Teen,26
4,Children (6 to 10),26
5,Elders (65+),26
1,Preteen,27
2,Adults,27
3,Teen,27
5,Elders (65+),27
2,Adults,28
3,Teen,28
2,Adults,29
2,Adults,30
5,Elders (65+),30
2,Adults,31
2,Adults,32
3,Teen,32
4,Children (6 to 10),32
5,Elders (65+),32
1,Preteen,33
2,Adults,33
3,Teen,33
4,Children (6 to 10),33
2,Adults,34
2,Adults,35
3,Teen,35
2,Adults,36
3,Teen,36
2,Adults,38
5,Elders (65+),38
1,Preteen,39
2,Adults,39
3,Teen,39
5,Elders (65+),39
2,Adults,41
5,Elders (65+),41
1,Preteen,42
2,Adults,42
3,Teen,42
5,Elders (65+),42
2,Adults,43
3,Teen,43
5,Elders (65+),43
1,Preteen,44
2,Adults,44
3,Teen,44
4,Children (6 to 10),44
5,Elders (65+),44
2,Adults,45
3,Teen,45
1,Preteen,46
2,Adults,46
3,Teen,46
4,Children (6 to 10),46
5,Elders (65+),46
1,Preteen,47
2,Adults,47
3,Teen,47
5,Elders (65+),47
1,Preteen,48
2,Adults,48
3,Teen,48
5,Elders (65+),48
0,Toddler,49
1,Preteen,49
2,Adults,49
3,Teen,49
4,Children (6 to 10),49
2,Adults,50
3,Teen,50
2,Adults,51
5,Elders (65+),51
1,Preteen,52
2,Adults,52
3,Teen,52
2,Adults,53
2,Adults,54
5,Elders (65+),54
0,Toddler,55
1,Preteen,55
2,Adults,55
3,Teen,55
4,Children (6 to 10),55
5,Elders (65+),55
1,Preteen,56
2,Adults,56
3,Teen,56
4,Children (6 to 10),56
5,Elders (65+),56
2,Adults,57
2,Adults,58
3,Teen,58
1,Preteen,59
2,Adults,59
3,Teen,59
4,Children (6 to 10),59
1,Preteen,60
2,Adults,60
3,Teen,60
5,Elders (65+),60
2,Adults,61
5,Elders (65+),61
2,Adults,62
3,Teen,62
5,Elders (65+),62
2,Adults,63
3,Teen,63
5,Elders (65+),63
1,Preteen,64
2,Adults,64
3,Teen,64
4,Children (6 to 10),64
