mod_id,modality,person_id
2,Individuals,0
1,Couples,1
2,Individuals,1
3,Family,1
2,Individuals,2
2,Individuals,3
2,Individuals,4
1,Couples,5
2,Individuals,6
2,Individuals,7
0,Group,8
1,Couples,8
2,Individuals,8
2,Individuals,9
1,Couples,11
2,Individuals,11
3,Family,11
1,Couples,12
2,Individuals,12
3,Family,12
2,Individuals,13
1,Couples,14
2,Individuals,14
3,Family,14
1,Couples,15
2,Individuals,15
3,Family,15
1,Couples,16
2,Individuals,16
3,Family,16
1,Couples,17
2,Individuals,17
3,Family,17
1,Couples,18
2,Individuals,18
3,Family,18
2,Individuals,19
3,Family,19
2,Individuals,20
1,Couples,21
2,Individuals,21
0,Group,22
1,Couples,22
2,Individuals,22
1,Couples,23
2,Individuals,23
3,Family,23
0,Group,24
2,Individuals,24
2,Individuals,25
3,Family,25
1,Couples,26
2,Individuals,26
3,Family,26
1,Couples,27
2,Individuals,27
3,Family,27
1,Couples,28
2,Individuals,28
3,Family,28
2,Individuals,29
3,Family,29
1,Couples,30
2,Individuals,30
3,Family,30
2,Individuals,31
1,Couples,32
2,Individuals,32
3,Family,32
0,Group,33
2,Individuals,33
3,Family,33
0,Group,34
2,Individuals,34
1,Couples,35
2,Individuals,35
3,Family,35
0,Group,36
1,Couples,36
2,Individuals,36
1,Couples,37
2,Individuals,37
3,Family,37
0,Group,38
1,Couples,38
2,Individuals,38
1,Couples,39
2,Individuals,39
3,Family,39
2,Individuals,41
1,Couples,42
2,Individuals,42
3,Family,42
1,Couples,43
2,Individuals,43
3,Family,43
1,Couples,44
2,Individuals,44
3,Family,44
1,Couples,45
2,Individuals,45
1,Couples,46
2,Individuals,46
3,Family,46
1,Couples,47
2,Individuals,47
3,Family,47
2,Individuals,48
3,Family,48
2,Individuals,49
3,Family,49
2,Individuals,50
3,Family,50
1,Couples,51
2,Individuals,51
3,Family,51
0,Group,52
2,Individuals,52
3,Family,52
2,Individuals,53
0,Group,54
2,Individuals,54
3,Family,54
2,Individuals,55
1,Couples,56
2,Individuals,56
3,Family,56
0,Group,58
1,Couples,58
2,Individuals,58
0,Group,59
1,Couples,59
2,Individuals,59
0,Group,60
1,Couples,60
2,Individuals,60
2,Individuals,61
1,Couples,62
2,Individuals,62
3,Family,62
1,Couples,63
2,Individuals,63
3,Family,63
1,Couples,64
2,Individuals,64
3,Family,64
2,Individuals,65
0,Group,66
2,Individuals,66
3,Family,66
1,Couples,69
2,Individuals,69
2,Individuals,70
2,Individuals,71
0,Group,72
1,Couples,72
2,Individuals,72
2,Individuals,73
1,Couples,74
2,Individuals,74
3,Family,74
1,Couples,75
2,Individuals,75
1,Couples,77
2,Individuals,77
3,Family,77
1,Couples,78
2,Individuals,78
3,Family,78
0,Group,79
2,Individuals,79
3,Family,79
1,Couples,80
2,Individuals,80
3,Family,80
1,Couples,81
2,Individuals,81
3,Family,81
1,Couples,82
2,Individuals,82
3,Family,82
1,Couples,84
2,Individuals,84
0,Group,85
1,Couples,85
2,Individuals,85
1,Couples,86
2,Individuals,86
3,Family,86
1,Couples,87
2,Individuals,87
3,Family,87
2,Individuals,88
3,Family,88
1,Couples,89
2,Individuals,89
2,Individuals,90
1,Couples,91
2,Individuals,91
3,Family,91
2,Individuals,92
2,Individuals,94
3,Family,94
1,Couples,95
2,Individuals,95
3,Family,95
0,Group,96
1,Couples,96
2,Individuals,96
1,Couples,97
2,Individuals,97
1,Couples,98
2,Individuals,98
3,Family,98
0,Group,99
2,Individuals,99
3,Family,99
0,Group,100
2,Individuals,100
3,Family,100
1,Couples,101
2,Individuals,101
3,Family,101
2,Individuals,102
3,Family,102
0,Group,105
1,Couples,105
2,Individuals,105
2,Individuals,106
2,Individuals,107
1,Couples,108
2,Individuals,108
3,Family,108
1,Couples,111
2,Individuals,111
3,Family,111
1,Couples,112
2,Individuals,112
3,Family,112
2,Individuals,114
1,Couples,115
2,Individuals,115
3,Family,115
1,Couples,116
2,Individuals,116
3,Family,116
0,Group,117
1,Couples,117
2,Individuals,117
0,Group,118
1,Couples,118
2,Individuals,118
0,Group,119
2,Individuals,119
1,Couples,120
2,Individuals,120
3,Family,120
0,Group,121
2,Individuals,121
2,Individuals,122
1,Couples,123
2,Individuals,123
1,Couples,124
2,Individuals,124
2,Individuals,125
1,Couples,126
2,Individuals,126
3,Family,126
1,Couples,127
2,Individuals,127
3,Family,127
0,Group,128
2,Individuals,128
3,Family,128
1,Couples,129
2,Individuals,129
3,Family,129
1,Couples,130
2,Individuals,130
3,Family,130
1,Couples,131
2,Individuals,131
3,Family,131
1,Couples,132
2,Individuals,132
1,Couples,133
2,Individuals,133
3,Family,133
0,Group,134
2,Individuals,134
3,Family,134
1,Couples,135
2,Individuals,135
3,Family,135
1,Couples,136
2,Individuals,136
3,Family,136
2,Individuals,137
1,Couples,138
2,Individuals,138
3,Family,138
1,Couples,139
2,Individuals,139
3,Family,139
2,Individuals,140
3,Family,140
1,Couples,141
2,Individuals,141
3,Family,141
2,Individuals,142
2,Individuals,143
3,Family,143
1,Couples,144
2,Individuals,144
3,Family,144
0,Group,145
2,Individuals,145
2,Individuals,146
2,Individuals,147
1,Couples,148
2,Individuals,148
3,Family,148
1,Couples,149
2,Individuals,149
2,Individuals,150
2,Individuals,151
2,Individuals,152
3,Family,152
0,Group,153
1,Couples,153
2,Individuals,153
0,Group,154
2,Individuals,154
3,Family,154
2,Individuals,155
3,Family,155
1,Couples,156
2,Individuals,156
3,Family,156
1,Couples,157
2,Individuals,157
3,Family,157
1,Couples,159
2,Individuals,159
2,Individuals,160
1,Couples,161
2,Individuals,161
3,Family,161
1,Couples,163
2,Individuals,163
3,Family,163
1,Couples,165
2,Individuals,165
1,Couples,166
2,Individuals,166
3,Family,166
2,Individuals,167
0,Group,168
2,Individuals,168
3,Family,168
1,Couples,169
2,Individuals,169
1,Couples,170
2,Individuals,170
3,Family,170
1,Couples,171
2,Individuals,171
3,Family,171
2,Individuals,172
1,Couples,173
2,Individuals,173
3,Family,173
1,Couples,174
2,Individuals,174
1,Couples,175
2,Individuals,175
3,Family,175
2,Individuals,176
1,Couples,177
2,Individuals,177
3,Family,177
1,Couples,178
2,Individuals,178
3,Family,178
0,Group,179
1,Couples,179
2,Individuals,179
1,Couples,180
2,Individuals,180
3,Family,180
1,Couples,183
2,Individuals,183
1,Couples,184
2,Individuals,184
3,Family,184
1,Couples,185
2,Individuals,185
3,Family,185
1,Couples,186
2,Individuals,186
3,Family,186
2,Individuals,187
1,Couples,188
2,Individuals,188
3,Family,188
2,Individuals,189
0,Group,190
1,Couples,190
2,Individuals,190
1,Couples,191
2,Individuals,191
3,Family,191
1,Couples,192
2,Individuals,192
3,Family,192
0,Group,193
2,Individuals,193
1,Couples,194
2,Individuals,194
3,Family,194
0,Group,195
2,Individuals,195
3,Family,195
1,Couples,196
2,Individuals,196
3,Family,196
1,Couples,197
2,Individuals,197
3,Family,197
0,Group,198
2,Individuals,198
3,Family,198
1,Couples,199
2,Individuals,199
3,Family,199
1,Couples,200
2,Individuals,200
3,Family,200
1,Couples,201
2,Individuals,201
0,Group,202
1,Couples,202
2,Individuals,202
2,Individuals,203
3,Family,203
1,Couples,204
2,Individuals,204
1,Couples,205
2,Individuals,205
3,Family,205
1,Couples,207
2,Individuals,207
3,Family,207
2,Individuals,208
3,Family,208
2,Individuals,209
1,Couples,210
2,Individuals,210
3,Family,210
1,Couples,211
2,Individuals,211
1,Couples,212
2,Individuals,212
3,Family,212
1,Couples,213
2,Individuals,213
3,Family,213
1,Couples,215
2,Individuals,215
3,Family,215
1,Couples,216
2,Individuals,216
3,Family,216
1,Couples,217
2,Individuals,217
2,Individuals,218
3,Family,218
1,Couples,219
2,Individuals,219
3,Family,219
1,Couples,220
2,Individuals,220
0,Group,221
2,Individuals,221
2,Individuals,222
0,Group,223
1,Couples,223
2,Individuals,223
1,Couples,224
2,Individuals,224
3,Family,224
1,Couples,225
2,Individuals,225
1,Couples,226
2,Individuals,226
3,Family,226
2,Individuals,227
3,Family,227
2,Individuals,229
1,Couples,230
2,Individuals,230
1,Couples,231
2,Individuals,231
3,Family,231
2,Individuals,232
1,Couples,233
2,Individuals,233
3,Family,233
2,Individuals,234
1,Couples,235
2,Individuals,235
1,Couples,236
2,Individuals,236
3,Family,236
1,Couples,237
2,Individuals,237
3,Family,237
1,Couples,238
2,Individuals,238
3,Family,238
0,Group,241
1,Couples,241
2,Individuals,241
1,Couples,242
2,Individuals,242
3,Family,242
1,Couples,243
2,Individuals,243
3,Family,243
1,Couples,244
2,Individuals,244
2,Individuals,245
3,Family,245
1,Couples,246
2,Individuals,246
3,Family,246
0,Group,247
2,Individuals,247
3,Family,247
1,Couples,248
2,Individuals,248
3,Family,248
1,Couples,249
2,Individuals,249
3,Family,249
2,Individuals,250
2,Individuals,251
3,Family,251
2,Individuals,252
1,Couples,253
2,Individuals,253
3,Family,253
1,Couples,254
2,Individuals,254
3,Family,254
2,Individuals,255
3,Family,255
1,Couples,256
2,Individuals,256
3,Family,256
1,Couples,257
2,Individuals,257
3,Family,257
1,Couples,258
2,Individuals,258
3,Family,258
1,Couples,259
2,Individuals,259
3,Family,259
1,Couples,260
2,Individuals,260
3,Family,260
0,Group,261
1,Couples,261
2,Individuals,261
2,Individuals,262
3,Family,262
1,Couples,263
2,Individuals,263
2,Individuals,264
3,Family,264
1,Couples,265
2,Individuals,265
3,Family,265
0,Group,266
2,Individuals,266
3,Family,266
2,Individuals,267
1,Couples,268
2,Individuals,268
3,Family,268
1,Couples,269
2,Individuals,269
3,Family,269
1,Couples,270
2,Individuals,270
3,Family,270
1,Couples,271
2,Individuals,271
3,Family,271
1,Couples,272
2,Individuals,272
1,Couples,273
2,Individuals,273
2,Individuals,274
3,Family,274
1,Couples,275
2,Individuals,275
3,Family,275
1,Couples,276
2,Individuals,276
3,Family,276
2,Individuals,277
3,Family,277
1,Couples,278
2,Individuals,278
3,Family,278
1,Couples,279
2,Individuals,279
3,Family,279
1,Couples,280
2,Individuals,280
2,Individuals,281
3,Family,281
1,Couples,282
2,Individuals,282
3,Family,282
2,Individuals,283
3,Family,283
1,Couples,284
2,Individuals,284
3,Family,284
1,Couples,285
2,Individuals,285
3,Family,285
2,Individuals,286
2,Individuals,287
2,Individuals,288
3,Family,288
0,Group,289
2,Individuals,289
1,Couples,290
2,Individuals,290
3,Family,290
1,Couples,291
2,Individuals,291
3,Family,291
1,Couples,292
2,Individuals,292
0,Group,293
1,Couples,293
2,Individuals,293
2,Individuals,294
0,Group,295
2,Individuals,295
0,Group,296
2,Individuals,296
3,Family,296
2,Individuals,297
2,Individuals,298
2,Individuals,299
3,Family,299
1,Couples,301
2,Individuals,301
3,Family,301
1,Couples,302
2,Individuals,302
3,Family,302
1,Couples,303
2,Individuals,303
3,Family,303
1,Couples,304
2,Individuals,304
3,Family,304
2,Individuals,306
1,Couples,307
2,Individuals,307
3,Family,307
1,Couples,308
2,Individuals,308
3,Family,308
1,Couples,309
2,Individuals,309
3,Family,309
1,Couples,310
2,Individuals,310
1,Couples,311
2,Individuals,311
3,Family,311
1,Couples,312
2,Individuals,312
1,Couples,314
2,Individuals,314
1,Couples,315
2,Individuals,315
3,Family,315
1,Couples,316
2,Individuals,316
0,Group,317
1,Couples,317
2,Individuals,317
1,Couples,318
2,Individuals,318
3,Family,318
0,Group,319
1,Couples,319
2,Individuals,319
1,Couples,320
2,Individuals,320
1,Couples,321
2,Individuals,321
1,Couples,324
2,Individuals,324
3,Family,324
0,Group,325
1,Couples,325
2,Individuals,325
1,Couples,327
2,Individuals,327
3,Family,327
2,Individuals,328
3,Family,328
1,Couples,329
2,Individuals,329
3,Family,329
1,Couples,330
2,Individuals,330
1,Couples,331
2,Individuals,331
3,Family,331
1,Couples,332
2,Individuals,332
0,Group,333
2,Individuals,333
2,Individuals,334
1,Couples,335
2,Individuals,335
3,Family,335
0,Group,336
1,Couples,336
3,Family,336
0,Group,337
2,Individuals,337
3,Family,337
0,Group,338
1,Couples,338
2,Individuals,338
1,Couples,339
2,Individuals,339
3,Family,339
0,Group,340
1,Couples,340
2,Individuals,340
1,Couples,342
2,Individuals,342
3,Family,342
1,Couples,343
2,Individuals,343
3,Family,343
1,Couples,344
2,Individuals,344
3,Family,344
2,Individuals,345
0,Group,346
2,Individuals,346
0,Group,347
2,Individuals,347
2,Individuals,348
3,Family,348
0,Group,349
2,Individuals,349
3,Family,349
1,Couples,350
2,Individuals,350
3,Family,350
2,Individuals,351
1,Couples,352
2,Individuals,352
3,Family,352
1,Couples,353
2,Individuals,353
3,Family,353
1,Couples,354
2,Individuals,354
2,Individuals,355
3,Family,355
1,Couples,356
2,Individuals,356
3,Family,356
1,Couples,357
2,Individuals,357
2,Individuals,358
1,Couples,359
2,Individuals,359
1,Couples,360
2,Individuals,360
0,Group,361
2,Individuals,361
3,Family,361
1,Couples,362
2,Individuals,362
3,Family,362
1,Couples,363
2,Individuals,363
3,Family,363
0,Group,364
1,Couples,364
2,Individuals,364
1,Couples,365
2,Individuals,365
3,Family,365
1,Couples,366
2,Individuals,366
3,Family,366
1,Couples,367
2,Individuals,367
3,Family,367
2,Individuals,368
1,Couples,369
2,Individuals,369
3,Family,369
2,Individuals,370
3,Family,370
2,Individuals,371
1,Couples,372
2,Individuals,372
3,Family,372
2,Individuals,373
3,Family,373
1,Couples,374
2,Individuals,374
1,Couples,375
2,Individuals,375
3,Family,375
0,Group,377
1,Couples,377
2,Individuals,377
0,Group,378
2,Individuals,378
1,Couples,379
2,Individuals,379
3,Family,379
0,Group,380
1,Couples,380
2,Individuals,380
2,Individuals,381
2,Individuals,382
1,Couples,383
2,Individuals,383
1,Couples,384
2,Individuals,384
3,Family,384
1,Couples,385
2,Individuals,385
1,Couples,386
2,Individuals,386
3,Family,386
2,Individuals,387
0,Group,388
2,Individuals,388
3,Family,388
2,Individuals,390
2,Individuals,391
1,Couples,392
2,Individuals,392
1,Couples,393
2,Individuals,393
3,Family,393
2,Individuals,394
1,Couples,395
2,Individuals,395
3,Family,395
1,Couples,396
2,Individuals,396
3,Family,396
2,Individuals,397
0,Group,398
2,Individuals,398
1,Couples,400
2,Individuals,400
2,Individuals,401
1,Couples,402
2,Individuals,402
3,Family,402
2,Individuals,403
1,Couples,404
2,Individuals,404
3,Family,404
1,Couples,405
2,Individuals,405
3,Family,405
1,Couples,406
2,Individuals,406
3,Family,406
2,Individuals,407
2,Individuals,408
2,Individuals,409
0,Group,410
2,Individuals,410
3,Family,410
2,Individuals,411
1,Couples,412
2,Individuals,412
1,Couples,413
2,Individuals,413
3,Family,413
1,Couples,414
2,Individuals,414
3,Family,414
2,Individuals,415
1,Couples,417
2,Individuals,417
3,Family,417
1,Couples,418
2,Individuals,418
3,Family,418
1,Couples,419
2,Individuals,419
3,Family,419
0,Group,420
1,Couples,420
2,Individuals,420
