	url	name	generic_name	brand_names	drug_classes	description	warnings	related_drugs
0	https://www.drugs.com/amphetamine.html	Amphetamine	amphetamine	Adzenys ER, Adzenys XR-ODT, Dyanavel XR, Evekeo, Evekeo ODT, Amphetamine Sulfate	CNS stimulants	Amphetamine is a central nervous system stimulant that affects chemicals in the brain and nerves that contribute to hyperactivity and impulse control. Amphetamine is used to treat attention deficit hyperactivity disorder (ADHD). The Evekeo brand of amphetamine is used to treat ADHD and also narcolepsy. Evekeo is sometimes used to treat obesity in people who have not lost weight with diets or other treatments. Amphetamine is not approved for use in children less than 6 years of age, with the exception of Evekeo (approved for children age 3 and older).	Amphetamine may be habit-forming, and this medicine is a drug of abuse. Tell your doctor if you have had problems with drug or alcohol abuse. Stimulants have caused stroke, heart attack, and sudden death in people with high blood pressure, heart disease, or a heart defect. Do not use this medicine if you have used an MAO inhibitor in the past 14 days, such as isocarboxazid, linezolid, methylene blue injection, phenelzine, or tranylcypromine. Amphetamine may cause new or worsening psychosis (unusual thoughts or behavior), especially if you have a history of depression, mental illness, or bipolar disorder. Amphetamine may cause blood circulation problems that can cause numbness, pain, or discoloration in your fingers or toes. Call your doctor right away if you have: signs of heart problems - chest pain, feeling light-headed or short of breath; signs of psychosis - paranoia, aggression, new behavior problems, seeing or hearing things that are not real; signs of circulation problems - unexplained wounds on your fingers or toes.	
1	https://www.drugs.com/zopiclone.html	Zopiclone	zopiclone	"Imovane, Zimovane, Zimovane LS, Imoclone, Imrest, Lyzop, Ziclone, Zolinox, Zolium, Zopicon, Zopitran"		Zopiclone is a medication used to treat a sleeping problem called insomnia. Zopiclone is a sleeping pill that belongs to a group of drugs called non-benzodiazepine hypnotics. It has a different structure to benzodiazepine sedative hypnotics, such as Halcion (triazolam), but has similar benefits and side effects. Zopiclone helps to reduce the amount of time it takes you to fall asleep (sleep latency), increase the amount of time you sleep for (sleep duration), and decrease the number of times you wake up at night (nocturnal awakenings). Zopiclone starts to work quickly, taking about an hour to work. Zopiclone works by binding to a receptor in your brain called the gamma-aminobutyric acid type A (GABAA) receptor and enhancing the action of gamma-aminobutyric acid (GABA), a chemical messenger that has a calming effect. Zopiclone became available in the 1980s and is approved for use in many parts of the world. However, it is not available in the US where it is a schedule IV controlled substance. The US Food and Drug Administration (FDA) has approved eszopiclone (Lunesta). Eszopiclone is a stereoisomer of zopiclone, which means it is made up of the same parts connected in the same sequences, but its 3D structure is different. Zopiclone usually comes as a tablet. In some countries, your doctor may be able to order you an oral solution containing this medication if you have trouble swallowing. Branded and generic versions of zopiclone are available.	Zopiclone may cause serious side effects.	
2	https://www.drugs.com/mtm/asenapine-sublingual.html	Asenapine (sublingual)	asenapine (sublingual)	Saphris	Atypical antipsychotics	Asenapine is an antipsychotic medicine that is used to treat schizophrenia in adults, and bipolar I disorder in adults and children who are at least 10 years old. Asenapine may also be used for purposes not listed in this medication guide.	Asenapine is not approved for use in older adults with dementia-related psychosis.	
3	https://www.drugs.com/mtm/amisulpride.html	Amisulpride	amisulpride	Barhemsys	Atypical antipsychotics, Miscellaneous antiemetics	Amisulpride is used alone or with other medications to prevent nausea and vomiting after a surgery. Amisulpride may also be used for purposes not listed in this medication guide.	Before you are treated with amisulpride, tell your doctor about all your medical conditions or allergies, all medicines you use, and if you are pregnant or breastfeeding.	
4	https://www.drugs.com/baclofen.html	Baclofen	baclofen (oral)	FIRST Baclofen, Ozobax, Lioresal, Lioresal Intrathecal, Gablofen	Skeletal muscle relaxants	Baclofen is a muscle relaxer and an antispasmodic agent. Baclofen is used to treat muscle pain, spasms, and stiffness in people with multiple sclerosis or spinal cord injury or disease. Baclofen is given intrathecally (directly into the spinal cord) or orally (by mouth).	Do not use baclofen at a time when you need muscle tone for safe balance and movement during certain activities. Do not drive or operate heavy machinery until you know how this medicine affects you. Do not stop using baclofen suddenly, or you could have unpleasant withdrawal symptoms.	
5	https://www.drugs.com/citalopram.html	Citalopram	citalopram	Celexa	Selective serotonin reuptake inhibitors	Citalopram is an antidepressant belonging to a group of drugs called selective serotonin reuptake inhibitors (SSRIs). Citalopram is a prescription medicine used to treat depression. Citalopram is also used to treat major depressive disorder (MDD).	Citalopram can cause a serious heart problem. Call your doctor right away if you have chest pain, fast or pounding heartbeats, shortness of breath, and sudden dizziness. You should not use citalopram if you also take pimozide, as the combination can cause problems with your heart rhythm. Do not use citalopram if you have used a MAO inhibitor in the past 14 days (such as isocarboxazid, linezolid, phenelzine, rasagiline, selegiline, or tranylcypromine) or have received a methylene blue injection. A fatal reaction may occur. People with depression or mental illness may have thoughts about suicide. Some young people may have increased suicidal thoughts when first starting a medicine to treat depression. Tell your doctor right away if you have any sudden changes in mood or behavior, or thoughts about suicide. Report any new or worsening symptoms to your doctor, such as: mood or behavior changes, anxiety, panic attacks, trouble sleeping, or if you feel impulsive, irritable, agitated, hostile, aggressive, restless, hyperactive (mentally or physically), more depressed, or have thoughts about suicide or hurting yourself. Do not stop using citalopram without first asking your doctor.	trazodone, sertraline, fluoxetine, Lexapro, amitriptyline, venlafaxine, Zoloft
6	https://www.drugs.com/mtm/fenfluramine.html	Fenfluramine	fenfluramine	Fintepla, Pondimin	Anorexiants, CNS stimulants, Miscellaneous anticonvulsants	Fenfluramine is used to treat seizures caused by Dravet syndrome in adults and children at least 2 years old. Fenfluramine can cause serious side effects on your heart and lungs.  fenfluramine is available only under a special program. You must be registered in the program and understand the risks and benefits of this medicine. Fenfluramine may also be used for purposes not listed in this medication guide.	Do not use this medicine if you have used an MAO inhibitor in the past 14 days, such as isocarboxazid, linezolid, methylene blue injection, phenelzine, rasagiline, selegiline, or tranylcypromine. Fenfluramine can cause serious side effects on your heart and lungs. Call your doctor at once if you have: chest pain, shortness of breath, unusual tiredness, swelling in your lower legs, fast or pounding heartbeats, blue skin or lips, or if you feel light-headed. Fenfluramine may cause weight loss, which could affect growth in children. Weigh yourself regularly and tell your doctor if you lose weight. You may need to stop taking fenfluramine if you lose too much weight. Avoid driving or hazardous activity until you know how this medicine will affect you. Your reactions could be impaired. Some people have thoughts about suicide while taking fenfluramine. Stay alert to changes in your mood or symptoms. Report any new or worsening symptoms to your doctor.	topiramate, phentermine, Topamax, semaglutide, Wegovy, Saxenda, methamphetamine
7	https://www.drugs.com/hydroxyzine.html	Hydroxyzine	hydroxyzine	ANX, Vistaril, Atarax, Vistaril IM, Hyzine, Vistaject-50, Rezine	Antihistamines, Miscellaneous anxiolytics, sedatives and hypnotics	Hydroxyzine is an antihistamine that reduces the effects of natural chemical histamine in the body. Histamine can produce symptoms of itching, or hives on the skin. Hydroxyzine may be used to treat allergic skin reactions such as hives or contact dermatitis. Since hydroxyzine also reduces activity in the central nervous system, it can be used as a sedative to treat anxiety and tension. It is also used together with other medications given during and after general anesthesia. Hydroxyzine is also used to treat allergic skin reactions such as hives or contact dermatitis.	Hydroxyzine may cause birth defects. Talk to you doctor before using hydroxyzine if pregnant or breastfeeding. Hydroxyzine can cause a serious heart problem, especially if you use certain medicines at the same time. Tell your doctor about all your current medicines and any you start or stop using. This medication may impair your thinking or reactions. Be careful if you drive or do anything that requires you to be alert. Stop using this medicine and call your doctor at once if you have a serious side effect such as tremors, confusion, seizures, or restless muscle movements in your eyes, tongue, jaw, or neck. Drinking alcohol can increase certain side effects of hydroxyzine.	aspirin, acetaminophen, tramadol, trazodone, escitalopram, alprazolam, duloxetine
8	https://www.drugs.com/methadone.html	Methadone	methadone (oral/injection)	Dolophine, Methadose, Methadose Sugar-Free, Diskets	Opioids (narcotic analgesics)	"Methadone is an opioid medication. An opioid is sometimes called a narcotic. Methadone reduces withdrawal symptoms in people addicted to heroin or other narcotic drugs without causing the ""high"" associated with the drug addiction. Methadone is used as a pain reliever and as part of drug addiction detoxification and maintenance programs. It is available only from a certified pharmacy. Methadone is used for around-the-clock treatment of severe pain. This medicine is not for use on an as-needed basis for pain."	You should not use methadone if you have severe asthma or breathing problems, or a blockage in your stomach or intestines. MISUSE OF METHADONE CAN CAUSE ADDICTION, OVERDOSE, OR DEATH, especially in a child or other person using the medicine without a prescription. Keep the medication in a place where others cannot get to it. Taking opioid medicine during pregnancy may cause life-threatening withdrawal symptoms in the newborn. Fatal side effects can occur if you use opioid medicine with alcohol, or with other drugs that cause drowsiness or slow your breathing. Methadone may cause a life-threatening heart rhythm disorder. Call your doctor at once if you have a headache with chest pain and severe dizziness, and fast or pounding heartbeats. Your heart function may need to be checked during treatment.	Subutex, Sublocade, Zubsolv, Buprenex, Bunavail, Probuphine, aspirin
9	https://www.drugs.com/duloxetine.html	Duloxetine	duloxetine	Cymbalta, Drizalma Sprinkle, Irenka	Serotonin-norepinephrine reuptake inhibitors	Duloxetine is a selective serotonin and norepinephrine reuptake inhibitor antidepressant (SSNRI). Duloxetine affects chemicals in the brain that may be unbalanced in people with depression. Duloxetine is used to treat major depressive disorder in adults. It is also used to treat general anxiety disorder in adults and children who are at least 7 years old. Duloxetine is also used in adults to treat nerve pain caused by diabetes (diabetic neuropathy), or chronic muscle or joint pain (such as low back pain and osteoarthritis pain). Some brands of duloxetine are also used to treat fibromyalgia (a chronic pain disorder). Drizalma is for treating fibromyalgia only in adults. Cymbalta may be used to treat fibromyalgia in adults and children at least 13 years old.	Do not take duloxetine within 5 days before or 14 days after you have used an MAO inhibitor, such as isocarboxazid, linezolid, methylene blue injection, phenelzine, tranylcypromine, and others. A dangerous drug interaction could occur. People with depression or mental illness may have thoughts about suicide. Some young people may have increased suicidal thoughts when first starting a medicine to treat depression. Tell your doctor right away if you have any sudden changes in mood or behavior, or thoughts about suicide. Do not stop using duloxetine without first talking to your doctor.	
