,name,count
1,anxiety,9295
3,depression,8892
15,relationship issues,8355
4,self esteem,7735
20,trauma and ptsd,7210
29,grief,6882
17,coping skills,6831
0,stress,6611
33,family conflict,6126
21,life transitions,6083
31,peer relationships,5156
46,parenting,5148
25,women's issues,5063
30,divorce,4543
32,codependency,4177
36,impulse control disorders,4057
37,marital and premarital,3877
28,behavioral issues,3707
40,child,3654
24,spirituality,3653
19,anger management,3500
23,addiction,3211
6,school issues,3194
12,emotional disturbance,3183
56,substance use,3040
8,sexual abuse,3027
35,life coaching,2999
34,adhd,2974
65,bipolar disorder,2565
51,infidelity,2483
39,suicidal ideation,2377
63,self-harming,2343
26,obsessive-compulsive (ocd),2288
7,career counseling,2177
9,alcohol use,2071
71,domestic violence,2037
70,dual diagnosis,1990
79,men's issues,1987
55,pregnancy,1967
53,postpartum,1967
52,prenatal,1965
13,sleep or insomnia,1940
18,domestic abuse,1812
83,transgender,1750
10,drug abuse,1698
49,racial identity,1674
62,eating disorders,1641
22,chronic pain,1559
60,infertility,1360
2,chronic illness,1349
64,borderline personality (bpd),1297
5,oppositional defiance (odd),1227
38,adoption,1220
76,sexual addiction,1012
74,sex therapy,905
72,weight loss,902
47,education and learning disabilities,885
68,narcissistic personality (npd),883
41,asperger's syndrome,872
66,internet addiction,871
48,autism,849
11,chronic impulsivity,801
84,teen violence,756
69,obesity,706
42,developmental disorders,691
43,sports performance,625
73,chronic relapse,561
44,testing and evaluation,556
90,video game addiction,502
67,gambling,494
59,mood disorders,478
16,antisocial personality,437
45,intellectual disability,403
57,traumatic brain injury (tbi),386
98,hoarding,372
58,alzheimer's,310
138,lgbtq+,257
169,medication management,225
168,medical detox,72
27,burnout,66
182,personality disorders,62
226,emdr,43
250,polyamory,36
180,couples therapy,35
567,couples counseling,32
175,panic,30
265,job stress,30
109,immigration,30
108,social anxiety,30
399,couples,29
444,dissociative disorders (did),29
293,elderly persons disorders,29
81,perfectionism,29
276,psychosis,27
597,body image,25
622,aging,24
163,panic attacks,24
248,phobias,24
124,adolescents,23
394,cancer,22
210,trauma,22
433,attachment,22
144,acculturation,22
746,first responders,21
273,lesbian,20
242,shame,20
152,cultural issues / racial trauma,19
363,gender identity,18
251,bisexual,18
181,thinking disorders,18
480,christian counseling,18
101,mindfulness,18
219,co-parenting,18
447,psychedelic integration,17
553,kink,17
885,teens,17
449,intergenerational trauma,16
362,adolescents/teens,16
376,racial trauma,15
364,cultural stress,15
858,young adults,15
328,adjustment disorder,15
244,stress management,15
245,creativity,14
878,personal growth,14
278,panic disorder,14
465,blended families,14
122,identity,14
365,military,13
231,creative blocks,13
93,religious trauma,13
302,communication,13
131,relapse prevention,13
606,lgbtq,13
919,attachment issues,13
262,bullying,12
791,consensual non-monogamy,12
61,cultural issues,12
505,complex ptsd,11
140,boundaries,11
504,narcissistic abuse,11
983,queer,11
196,hiv/aids,11
627,loss,10
421,bdsm,10
436,complex trauma,10
234,executive coaching,10
458,art therapy,10
550,immigration evaluations,10
665,lgbt,10
787,family therapy,10
111,grief and loss,9
332,selective mutism,9
275,pet loss,8
866,veterans,8
132,older adults,8
694,work stress,8
874,impulsivity,8
211,postpartum depression,8
718,identity development,7
406,social skills,7
105,smoking cessation,7
506,attachment trauma,7
712,poly,7
89,disordered eating,7
691,emotional eating,7
341,pre-marital counseling,7
840,existential crisis,7
549,non-monogamy,7
139,intimacy,7
527,disability,7
329,body image issues,7
154,divorce mediation,7
591,cultural,7
427,gender dysphoria,6
429,cross cultural issues,6
227,brainspotting,6
623,caregiving,6
798,couple's therapy,6
611,loneliness,6
435,couples issues,6
710,fetish,6
194,empowerment,6
802,insomnia,6
380,attachment disorders,6
832,ketamine assisted psychotherapy,6
696,immigration issues,6
670,communication issues,6
966,stress reduction,6
628,end of life,6
895,multicultural issues,6
547,dating,6
545,health psychology,6
50,marital conflict,5
636,co-dependency,5
311,partners of sex addicts,5
708,neurodivergence,5
287,dream work,5
432,trichotillomania,5
831,sexual assault,5
99,procrastination,5
237,death and dying,5
659,intuitive eating,5
159,existential,5
358,generational trauma,5
344,clinical supervision,5
688,forensic psychology,5
246,giftedness,5
973,immigration psychological evaluations,5
253,love addiction,5
601,betrayal trauma,5
353,conflict resolution,5
909,sex addiction,5
356,military life,4
620,family of origin issues,4
271,school refusal,4
372,self-empowerment,4
980,etc,4
1077,crisis intervention,4
1425,lgbtqia,4
95,artists,4
881,early childhood mental health,4
867,learning disabilities,4
698,compassion fatigue,4
927,eft,4
564,sports psychology,4
926,cbt,4
466,dreamwork,4
726,self-esteem,4
532,transcranial magnetic stimulation (tms therapy),4
446,creative block,4
664,human trafficking,4
569,pornography addiction,4
207,financial therapy,4
516,body-focused repetitive behaviors,4
434,abandonment issues,4
1322,moral injury,4
974,dementia,4
164,relational trauma,4
574,adjustment,4
417,sex work,4
755,social justice,4
595,play therapy,3
518,dyslexia,3
764,childhood emotional neglect (cen),3
757,intercultural relationships,3
513,medical illness,3
1390,menopause,3
752,ibs,3
1299,gender non-conforming,3
559,crisis,3
649,worry,3
635,adult children of emotionally immature parents,3
1201,religious abuse,3
739,mediation,3
1855,equine therapy,3
1701,co-occurring disorders,3
575,work related stress,3
648,body focused repetitive behaviors,3
489,gender affirming care,3
502,immigration/acculturation,3
693,low self esteem,3
