,item,itemLabel
0,http://www.wikidata.org/entity/Q55787200,11p15.4 microduplication syndrome
1,http://www.wikidata.org/entity/Q55788229,11q22.2q22.3 microdeletion syndrome
2,http://www.wikidata.org/entity/Q55788876,12q14 microdeletion syndrome
3,http://www.wikidata.org/entity/Q55788106,13q12.3 microdeletion syndrome
4,http://www.wikidata.org/entity/Q55788076,14q24.1q24.3 microdeletion syndrome
5,http://www.wikidata.org/entity/Q55787032,1p21.3 microdeletion syndrome
6,http://www.wikidata.org/entity/Q55788261,1p35.2 microdeletion syndrome
7,http://www.wikidata.org/entity/Q55787346,20p13 microdeletion syndrome
8,http://www.wikidata.org/entity/Q55788230,20q11.2 microdeletion syndrome
9,http://www.wikidata.org/entity/Q55787794,20q11.2 microduplication syndrome
10,http://www.wikidata.org/entity/Q1926345,22q13 deletion syndrome
11,http://www.wikidata.org/entity/Q55787795,2p13.2 microdeletion syndrome
12,http://www.wikidata.org/entity/Q55787355,2q23.1 microduplication syndrome
13,http://www.wikidata.org/entity/Q15428809,2q37 deletion syndrome
14,http://www.wikidata.org/entity/Q574227,2q37 monosomy
15,http://www.wikidata.org/entity/Q27677579,"3-methylglutaconic aciduria with cataracts, neurologic involvement and neutropenia"
16,http://www.wikidata.org/entity/Q21154070,3p- syndrome
17,http://www.wikidata.org/entity/Q55788181,3p25.3 microdeletion syndrome
18,http://www.wikidata.org/entity/Q55787977,3q27.3 microdeletion syndrome
19,http://www.wikidata.org/entity/Q55785688,6q16 deletion syndrome
20,http://www.wikidata.org/entity/Q55787375,7p22.1 microduplication syndrome
21,http://www.wikidata.org/entity/Q55787558,9p13 microdeletion syndrome
22,http://www.wikidata.org/entity/Q55788075,9q31.1q31.3 microdeletion syndrome
23,http://www.wikidata.org/entity/Q50349602,ABri amyloidosis
24,http://www.wikidata.org/entity/Q50349603,ADan amyloidosis
25,http://www.wikidata.org/entity/Q55783600,AICA-ribosiduria
26,http://www.wikidata.org/entity/Q3435504,AIDS dementia complex
27,http://www.wikidata.org/entity/Q293533,AIDS phobia
28,http://www.wikidata.org/entity/Q55783858,ANE syndrome
29,http://www.wikidata.org/entity/Q55788125,ARX-related encephalopathy-brain malformation spectrum
30,http://www.wikidata.org/entity/Q3508561,ATR-16 syndrome
31,http://www.wikidata.org/entity/Q55786703,ATR-X-related syndrome
32,http://www.wikidata.org/entity/Q303123,Aarskog syndrome
33,http://www.wikidata.org/entity/Q4665116,Abdominal aura
34,http://www.wikidata.org/entity/Q4060284,Accentuation of personality traits
35,http://www.wikidata.org/entity/Q104844018,Achiria
36,http://www.wikidata.org/entity/Q10355293,Acute toxic psychosis
37,http://www.wikidata.org/entity/Q90249065,Adele syndrome
38,http://www.wikidata.org/entity/Q357522,Adipsia
39,http://www.wikidata.org/entity/Q17992586,Adolescent paranoia
40,http://www.wikidata.org/entity/Q1812920,Adult attention deficit hyperactivity disorder
41,http://www.wikidata.org/entity/Q4693581,Agoraphobia Without History of Panic Disorder
42,http://www.wikidata.org/entity/Q403463,Aicardi syndrome
43,http://www.wikidata.org/entity/Q4713249,Alcohol and breast cancer
44,http://www.wikidata.org/entity/Q4713250,Alcohol and cardiovascular disease
45,http://www.wikidata.org/entity/Q4713257,Alcohol and weight
46,http://www.wikidata.org/entity/Q4713264,Alcohol dementia
47,http://www.wikidata.org/entity/Q28135156,Alcohol intolerance
48,http://www.wikidata.org/entity/Q16002418,Alcohol myopia
49,http://www.wikidata.org/entity/Q4713313,Alcohol use and sleep
50,http://www.wikidata.org/entity/Q22236199,Alcohol-induced respiratory reactions
51,http://www.wikidata.org/entity/Q9186667,Alcoholic cerebral degeneration
52,http://www.wikidata.org/entity/Q47535995,Alcoholic ketoacidosis
53,http://www.wikidata.org/entity/Q42593774,Aldred syndrome
54,http://www.wikidata.org/entity/Q16002436,Alektorophobia
55,http://www.wikidata.org/entity/Q4731121,Allan-Herndon-Dudley syndrome
56,http://www.wikidata.org/entity/Q4734606,Alopecia contractures dwarfism mental retardation
57,http://www.wikidata.org/entity/Q2613277,Alpha-thalassemia mental retardation syndrome
58,http://www.wikidata.org/entity/Q55782425,Alport syndrome-intellectual disability-midface hypoplasia-elliptocytosis syndrome
59,http://www.wikidata.org/entity/Q64425127,Alveolar hypoventilation syndrome
60,http://www.wikidata.org/entity/Q53660493,Alwadei syndrome
61,http://www.wikidata.org/entity/Q11081,Alzheimer's disease
62,http://www.wikidata.org/entity/Q27997150,Amafufunyana
63,http://www.wikidata.org/entity/Q55783637,Amish infantile epilepsy syndrome
64,http://www.wikidata.org/entity/Q4749552,Amylophagia
65,http://www.wikidata.org/entity/Q535364,Angelman syndrome
66,http://www.wikidata.org/entity/Q4763844,Angor animi
67,http://www.wikidata.org/entity/Q489499,Animal hoarding
68,http://www.wikidata.org/entity/Q2852337,Anosodiaphoria
69,http://www.wikidata.org/entity/Q15520396,Antenatal depression
70,http://www.wikidata.org/entity/Q19903316,Antidepressant treatment tachyphylaxis
71,http://www.wikidata.org/entity/Q587795,Anton syndrome
72,http://www.wikidata.org/entity/Q15783653,Anton–Babinski syndrome
73,http://www.wikidata.org/entity/Q104870117,Apeirophobia
74,http://www.wikidata.org/entity/Q2291948,Apotemnophilia
75,http://www.wikidata.org/entity/Q1428145,Apraxia of speech
76,http://www.wikidata.org/entity/Q622138,Aprosodia
77,http://www.wikidata.org/entity/Q18553460,Armfield syndrome
78,http://www.wikidata.org/entity/Q11852863,Arts syndrome
79,http://www.wikidata.org/entity/Q734123,Asomatognosia
80,http://www.wikidata.org/entity/Q161790,Asperger syndrome
81,http://www.wikidata.org/entity/Q4812457,At risk mental state
82,http://www.wikidata.org/entity/Q4812800,Ataque de nervios
83,http://www.wikidata.org/entity/Q50364510,Ataxia-oculomotor apraxia type 4
84,http://www.wikidata.org/entity/Q55332137,Ataxia-telangiectasia-like disorder 1
85,http://www.wikidata.org/entity/Q2869281,Athymhormia
86,http://www.wikidata.org/entity/Q49988980,Atkin-Flaitz syndrome
87,http://www.wikidata.org/entity/Q1993146,Attention deficit hyperactivity disorder predominantly inattentive
88,http://www.wikidata.org/entity/Q4818692,Attraction to disability
89,http://www.wikidata.org/entity/Q3961667,Austrian syndrome
90,http://www.wikidata.org/entity/Q105925693,Autosomal recessive mental retardation-42
91,http://www.wikidata.org/entity/Q55782923,Ayme-Gripp syndrome
92,http://www.wikidata.org/entity/Q190845,BDSM
93,http://www.wikidata.org/entity/Q48990236,Bainbridge Ropers Syndrome
94,http://www.wikidata.org/entity/Q12384040,Ballstretching
95,http://www.wikidata.org/entity/Q474254,Bannayan-Riley-Ruvalcaba syndrome
96,http://www.wikidata.org/entity/Q4859683,Barbie syndrome
97,http://www.wikidata.org/entity/Q48973749,Barré–Liéou syndrome
98,http://www.wikidata.org/entity/Q102296627,Basilicata-Akhtar syndrome
99,http://www.wikidata.org/entity/Q6898244,Bathophobia
100,http://www.wikidata.org/entity/Q51796815,Bd syndrome
101,http://www.wikidata.org/entity/Q4876973,Beat deafness
102,http://www.wikidata.org/entity/Q106996443,Bell's mania
103,http://www.wikidata.org/entity/Q24977061,Benign hereditary chorea
104,http://www.wikidata.org/entity/Q4889456,Benjamin syndrome
105,http://www.wikidata.org/entity/Q4890788,Benzodiazepine overdose
106,http://www.wikidata.org/entity/Q16944551,Biemond syndrome
107,http://www.wikidata.org/entity/Q51826234,Biemond syndrome type 2
108,http://www.wikidata.org/entity/Q1399293,Binswanger's disease
109,http://www.wikidata.org/entity/Q3540858,Bipolar disorder not otherwise specified
110,http://www.wikidata.org/entity/Q18553391,Birk-Barel syndrome
111,http://www.wikidata.org/entity/Q3983411,BlackBerry thumb
112,http://www.wikidata.org/entity/Q4931259,Boanthropy
113,http://www.wikidata.org/entity/Q4936774,Body-focused repetitive behavior disorders
114,http://www.wikidata.org/entity/Q1986152,Bogart–Bacall syndrome
115,http://www.wikidata.org/entity/Q4938225,Bohring-Opitz
116,http://www.wikidata.org/entity/Q55781860,Bonnemann-Meinecke-Reich syndrome
117,http://www.wikidata.org/entity/Q1019940,Borjeson-Forssman-Lehmann syndrome
118,http://www.wikidata.org/entity/Q894689,Botellón
119,http://www.wikidata.org/entity/Q18553398,Bowen-Conradi syndrome
120,http://www.wikidata.org/entity/Q4955819,Brain fag
121,http://www.wikidata.org/entity/Q917616,Briquet's syndrome
122,http://www.wikidata.org/entity/Q28065633,Brooks-Wisniewski-Brown syndrome
123,http://www.wikidata.org/entity/Q4979092,Brunner Syndrome
124,http://www.wikidata.org/entity/Q4979461,Bruns apraxia
125,http://www.wikidata.org/entity/Q174651,Bálint's syndrome
126,http://www.wikidata.org/entity/Q1022312,C syndrome
127,http://www.wikidata.org/entity/Q55346076,CAMOS syndrome
128,http://www.wikidata.org/entity/Q5064098,CEDNIK syndrome
129,http://www.wikidata.org/entity/Q8075299,CHIME syndrome
130,http://www.wikidata.org/entity/Q3043481,CHMP2B-related frontotemporal dementia
131,http://www.wikidata.org/entity/Q55782485,CK syndrome
132,http://www.wikidata.org/entity/Q25326623,COACH Syndrome
133,http://www.wikidata.org/entity/Q1150040,Caesarean madness
134,http://www.wikidata.org/entity/Q19596215,Caffeine-induced anxiety disorder
135,http://www.wikidata.org/entity/Q54304132,Camel spongiform encephalopathy
136,http://www.wikidata.org/entity/Q9390215,Camera-Marugo-Cohen syndrome
137,http://www.wikidata.org/entity/Q573557,Candaulism
138,http://www.wikidata.org/entity/Q5032577,Cannabinoid hyperemesis syndrome
139,http://www.wikidata.org/entity/Q65065956,Cannabis and sex
