item,itemLabel,itemDescription
http://www.wikidata.org/entity/Q55787200,11p15.4 microduplication syndrome,human disease
http://www.wikidata.org/entity/Q55788229,11q22.2q22.3 microdeletion syndrome,human disease
http://www.wikidata.org/entity/Q55788876,12q14 microdeletion syndrome,gene: mutations in this gene have already been implicated in osteopoikilosis
http://www.wikidata.org/entity/Q55788106,13q12.3 microdeletion syndrome,human disease
http://www.wikidata.org/entity/Q55788076,14q24.1q24.3 microdeletion syndrome,human disease
http://www.wikidata.org/entity/Q55787032,1p21.3 microdeletion syndrome,"1p21.3 microdeletion syndrome is an extremely rare chromosomal anomaly characterized by severe speech and language delay, intellectual deficiency, autism spectrum disorder(see this term)."
http://www.wikidata.org/entity/Q55788261,1p35.2 microdeletion syndrome,human disease
http://www.wikidata.org/entity/Q55787346,20p13 microdeletion syndrome,human disease
http://www.wikidata.org/entity/Q55788230,20q11.2 microdeletion syndrome,human disease
http://www.wikidata.org/entity/Q55787794,20q11.2 microduplication syndrome,
http://www.wikidata.org/entity/Q1926345,22q13 deletion syndrome,human disease
http://www.wikidata.org/entity/Q55787795,2p13.2 microdeletion syndrome,human disease
http://www.wikidata.org/entity/Q55787355,2q23.1 microduplication syndrome,
http://www.wikidata.org/entity/Q15428809,2q37 deletion syndrome,human disease
http://www.wikidata.org/entity/Q574227,2q37 monosomy,"Deletion 2q37 or monosomy 2q37 is a chromosomal anomaly involving deletion of chromosome band 2q37 and manifests as three major clinical findings: developmental delay, skeletal malformations and facial dysmorphism"
http://www.wikidata.org/entity/Q27677579,"3-methylglutaconic aciduria with cataracts, neurologic involvement and neutropenia",3-methylglutaconic aciduria that has material basis in homozygous or compound heterozygous mutation in the CLPB gene on chromosome 11q13
http://www.wikidata.org/entity/Q21154070,3p- syndrome,Human disease
http://www.wikidata.org/entity/Q55788181,3p25.3 microdeletion syndrome,human disease
http://www.wikidata.org/entity/Q55787977,3q27.3 microdeletion syndrome,human disease
http://www.wikidata.org/entity/Q55785688,6q16 deletion syndrome,"Deletion 6q16 syndrome is a Prader-Willi like syndrome characterized by obesity, hyperphagia, hypotonia, small hands and feet, eye/vision anomalies, and global developmental delay"
http://www.wikidata.org/entity/Q55787375,7p22.1 microduplication syndrome,
http://www.wikidata.org/entity/Q55787558,9p13 microdeletion syndrome,
