item,itemLabel,itemDescription,drugs,drugsLabel
http://www.wikidata.org/entity/Q161790,Asperger syndrome,neurodevelopmental disorder affecting social interaction,http://www.wikidata.org/entity/Q409236,fluvoxamine
http://www.wikidata.org/entity/Q161790,Asperger syndrome,neurodevelopmental disorder affecting social interaction,http://www.wikidata.org/entity/Q422244,fluoxetine
http://www.wikidata.org/entity/Q161790,Asperger syndrome,neurodevelopmental disorder affecting social interaction,http://www.wikidata.org/entity/Q201872,olanzapine
http://www.wikidata.org/entity/Q161790,Asperger syndrome,neurodevelopmental disorder affecting social interaction,http://www.wikidata.org/entity/Q412443,risperidone
http://www.wikidata.org/entity/Q161790,Asperger syndrome,neurodevelopmental disorder affecting social interaction,http://www.wikidata.org/entity/Q407617,sertraline
http://www.wikidata.org/entity/Q161790,Asperger syndrome,neurodevelopmental disorder affecting social interaction,http://www.wikidata.org/entity/Q422112,methylphenidate
http://www.wikidata.org/entity/Q161790,Asperger syndrome,neurodevelopmental disorder affecting social interaction,http://www.wikidata.org/entity/Q411188,aripiprazole
http://www.wikidata.org/entity/Q190564,Huntington's disease,"rare neurodegenerative disorder of the central nervous system characterized by unwanted choreatic movements, behavioral and psychiatric disturbances and dementia",http://www.wikidata.org/entity/Q413050,tetrabenazine
http://www.wikidata.org/entity/Q190564,Huntington's disease,"rare neurodegenerative disorder of the central nervous system characterized by unwanted choreatic movements, behavioral and psychiatric disturbances and dementia",http://www.wikidata.org/entity/Q321285,ubidecarenone
http://www.wikidata.org/entity/Q190564,Huntington's disease,"rare neurodegenerative disorder of the central nervous system characterized by unwanted choreatic movements, behavioral and psychiatric disturbances and dementia",http://www.wikidata.org/entity/Q144085,pimozide
http://www.wikidata.org/entity/Q190564,Huntington's disease,"rare neurodegenerative disorder of the central nervous system characterized by unwanted choreatic movements, behavioral and psychiatric disturbances and dementia",http://www.wikidata.org/entity/Q423520,perphenazine
http://www.wikidata.org/entity/Q190564,Huntington's disease,"rare neurodegenerative disorder of the central nervous system characterized by unwanted choreatic movements, behavioral and psychiatric disturbances and dementia",http://www.wikidata.org/entity/Q413717,(RS)-baclofen
http://www.wikidata.org/entity/Q1331905,Lewy body dementia,type of dementia,http://www.wikidata.org/entity/Q411887,rivastigmine
http://www.wikidata.org/entity/Q1331905,Lewy body dementia,type of dementia,http://www.wikidata.org/entity/Q7194603,pimavanserin
http://www.wikidata.org/entity/Q1331905,Lewy body dementia,type of dementia,http://www.wikidata.org/entity/Q415081,donepezil
http://www.wikidata.org/entity/Q191779,Tourette syndrome,neurodevelopmental condition,http://www.wikidata.org/entity/Q413050,tetrabenazine
http://www.wikidata.org/entity/Q191779,Tourette syndrome,neurodevelopmental condition,http://www.wikidata.org/entity/Q3332124,mecamylamine
http://www.wikidata.org/entity/Q191779,Tourette syndrome,neurodevelopmental condition,http://www.wikidata.org/entity/Q415752,pergolide
http://www.wikidata.org/entity/Q191779,Tourette syndrome,neurodevelopmental condition,http://www.wikidata.org/entity/Q423520,perphenazine
http://www.wikidata.org/entity/Q191779,Tourette syndrome,neurodevelopmental condition,http://www.wikidata.org/entity/Q412443,risperidone
http://www.wikidata.org/entity/Q191779,Tourette syndrome,neurodevelopmental condition,http://www.wikidata.org/entity/Q144085,pimozide
http://www.wikidata.org/entity/Q191779,Tourette syndrome,neurodevelopmental condition,http://www.wikidata.org/entity/Q205517,ziprasidone
http://www.wikidata.org/entity/Q191779,Tourette syndrome,neurodevelopmental condition,http://www.wikidata.org/entity/Q251347,haloperidol
http://www.wikidata.org/entity/Q191779,Tourette syndrome,neurodevelopmental condition,http://www.wikidata.org/entity/Q411188,aripiprazole
http://www.wikidata.org/entity/Q191779,Tourette syndrome,neurodevelopmental condition,http://www.wikidata.org/entity/Q412221,clonidine
http://www.wikidata.org/entity/Q1573307,Wernicke encephalopathy,"presence of neurological symptoms caused by biochemical lesions of the central nervous system after exhaustion of B-vitamin reserves,",http://www.wikidata.org/entity/Q83187,thiamine(1+) ion
http://www.wikidata.org/entity/Q117121,Wilson disease,multisystem disease due to abnormal accumulation of copper,http://www.wikidata.org/entity/Q421239,D-penicillamine
http://www.wikidata.org/entity/Q117121,Wilson disease,multisystem disease due to abnormal accumulation of copper,http://www.wikidata.org/entity/Q418386,triethylenetetramine
http://www.wikidata.org/entity/Q174589,agoraphobia,phobic disorder involving the specific anxiety about being in a place or situation where escape is difficult or embarrassing or where help may be unavailable,http://www.wikidata.org/entity/Q319877,alprazolam
http://www.wikidata.org/entity/Q7331102,alcohol abuse,substance abuse that involves the recurring use of alcoholic beverages despite negative consequences,http://www.wikidata.org/entity/Q409587,naltrexone
http://www.wikidata.org/entity/Q7331102,alcohol abuse,substance abuse that involves the recurring use of alcoholic beverages despite negative consequences,http://www.wikidata.org/entity/Q409672,(RS)-citalopram
http://www.wikidata.org/entity/Q7331102,alcohol abuse,substance abuse that involves the recurring use of alcoholic beverages despite negative consequences,http://www.wikidata.org/entity/Q409665,disulfiram
http://www.wikidata.org/entity/Q7331102,alcohol abuse,substance abuse that involves the recurring use of alcoholic beverages despite negative consequences,http://www.wikidata.org/entity/Q178566,chlordiazepoxide
http://www.wikidata.org/entity/Q7331102,alcohol abuse,substance abuse that involves the recurring use of alcoholic beverages despite negative consequences,http://www.wikidata.org/entity/Q410011,ondansetron
http://www.wikidata.org/entity/Q2914873,alcohol withdrawal syndrome,A set of symptoms that can occur after a reduction in alcohol use after excessive use,http://www.wikidata.org/entity/Q413717,(RS)-baclofen
http://www.wikidata.org/entity/Q4062508,alcoholic neuropathy,Human disease,http://www.wikidata.org/entity/Q83187,thiamine(1+) ion
http://www.wikidata.org/entity/Q4062508,alcoholic neuropathy,Human disease,http://www.wikidata.org/entity/Q73972,hydroxocobalamin
http://www.wikidata.org/entity/Q4062508,alcoholic neuropathy,Human disease,http://www.wikidata.org/entity/Q252251,cyanocobalamin
http://www.wikidata.org/entity/Q11072,amnesia,"cognitive disorder where the memory is disturbed or lost and involves the loss of memories previously established, loss of the ability to create new memories, continuous high blood pressure and severe shock may also caused amnesia",http://www.wikidata.org/entity/Q412189,memantine
http://www.wikidata.org/entity/Q11072,amnesia,"cognitive disorder where the memory is disturbed or lost and involves the loss of memories previously established, loss of the ability to create new memories, continuous high blood pressure and severe shock may also caused amnesia",http://www.wikidata.org/entity/Q410069,piracetam
http://www.wikidata.org/entity/Q11072,amnesia,"cognitive disorder where the memory is disturbed or lost and involves the loss of memories previously established, loss of the ability to create new memories, continuous high blood pressure and severe shock may also caused amnesia",http://www.wikidata.org/entity/Q415081,donepezil
