,item,itemLabel,itemDescription,drugs,drugsLabel
0,http://www.wikidata.org/entity/Q55787200,11p15.4 microduplication syndrome,human disease,,
1,http://www.wikidata.org/entity/Q55788229,11q22.2q22.3 microdeletion syndrome,human disease,,
2,http://www.wikidata.org/entity/Q55788876,12q14 microdeletion syndrome,gene: mutations in this gene have already been implicated in osteopoikilosis,,
3,http://www.wikidata.org/entity/Q55788106,13q12.3 microdeletion syndrome,human disease,,
4,http://www.wikidata.org/entity/Q55788076,14q24.1q24.3 microdeletion syndrome,human disease,,
5,http://www.wikidata.org/entity/Q55787032,1p21.3 microdeletion syndrome,"1p21.3 microdeletion syndrome is an extremely rare chromosomal anomaly characterized by severe speech and language delay, intellectual deficiency, autism spectrum disorder(see this term).",,
6,http://www.wikidata.org/entity/Q55788261,1p35.2 microdeletion syndrome,human disease,,
7,http://www.wikidata.org/entity/Q55787346,20p13 microdeletion syndrome,human disease,,
8,http://www.wikidata.org/entity/Q55788230,20q11.2 microdeletion syndrome,human disease,,
9,http://www.wikidata.org/entity/Q55787794,20q11.2 microduplication syndrome,,,
10,http://www.wikidata.org/entity/Q1926345,22q13 deletion syndrome,human disease,,
11,http://www.wikidata.org/entity/Q55787795,2p13.2 microdeletion syndrome,human disease,,
12,http://www.wikidata.org/entity/Q55787355,2q23.1 microduplication syndrome,,,
13,http://www.wikidata.org/entity/Q15428809,2q37 deletion syndrome,human disease,,
14,http://www.wikidata.org/entity/Q574227,2q37 monosomy,"Deletion 2q37 or monosomy 2q37 is a chromosomal anomaly involving deletion of chromosome band 2q37 and manifests as three major clinical findings: developmental delay, skeletal malformations and facial dysmorphism",,
15,http://www.wikidata.org/entity/Q27677579,"3-methylglutaconic aciduria with cataracts, neurologic involvement and neutropenia",3-methylglutaconic aciduria that has material basis in homozygous or compound heterozygous mutation in the CLPB gene on chromosome 11q13,,
16,http://www.wikidata.org/entity/Q21154070,3p- syndrome,Human disease,,
17,http://www.wikidata.org/entity/Q55788181,3p25.3 microdeletion syndrome,human disease,,
18,http://www.wikidata.org/entity/Q55787977,3q27.3 microdeletion syndrome,human disease,,
19,http://www.wikidata.org/entity/Q55785688,6q16 deletion syndrome,"Deletion 6q16 syndrome is a Prader-Willi like syndrome characterized by obesity, hyperphagia, hypotonia, small hands and feet, eye/vision anomalies, and global developmental delay",,
20,http://www.wikidata.org/entity/Q55787375,7p22.1 microduplication syndrome,,,
21,http://www.wikidata.org/entity/Q55787558,9p13 microdeletion syndrome,,,
22,http://www.wikidata.org/entity/Q55788075,9q31.1q31.3 microdeletion syndrome,human disease,,
23,http://www.wikidata.org/entity/Q50349602,ABri amyloidosis,human disease,,
24,http://www.wikidata.org/entity/Q50349603,ADan amyloidosis,"A cerebral amyloid angiopathy characterized by ataxia, intention tremor, psychosis and dementia that has material basis in an autosomal dominant mutation of ITM2B on chromosome 13q14.2.",,
25,http://www.wikidata.org/entity/Q55783600,AICA-ribosiduria,,,
26,http://www.wikidata.org/entity/Q3435504,AIDS dementia complex,Human disease,,
27,http://www.wikidata.org/entity/Q293533,AIDS phobia,specific anxiety disorder: excessively strong fear of being infected with HIV or AIDS to be sick,,
28,http://www.wikidata.org/entity/Q55783858,ANE syndrome,human disease,,
29,http://www.wikidata.org/entity/Q55788125,ARX-related encephalopathy-brain malformation spectrum,human disease,,
30,http://www.wikidata.org/entity/Q3508561,ATR-16 syndrome,"alpha thalassemia that has material basis in a deletion in chromosome 16p that involves the alpha-1 (HBA1) and alpha-2 (HBA2) genes, among others",,
31,http://www.wikidata.org/entity/Q55786703,ATR-X-related syndrome,human disease,,
32,http://www.wikidata.org/entity/Q303123,Aarskog syndrome,"monogenic disease affects a person's height, muscles, skeleton, genitals, and appearance of the face",,
33,http://www.wikidata.org/entity/Q4665116,Abdominal aura,,,
